,Search,Title,Location,Company,Salary,Summary,Post_Date,Link
30,Business Analyst,Junior QA Analyst,Melbourne VIC,Mediaocean,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=46f055f86cfa1d15&fccid=0c44ca03cc9d1140&vjs=3
31,Business Analyst,Contact Centre Business and Data Analyst,Melbourne City Centre VIC,Department of Education and Training,None,None,6 days ago,https://www.indeed.com/rc/clk?jk=a98a55e886c6b651&fccid=7ddf4a0143b41e4d&vjs=3
32,Business Analyst,Global Investment Banking & Capital Markets | Summer Analyst...,Melbourne VIC,Bank of America,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=ab023be7bec61005&fccid=5bd99dfa21c8a490&vjs=3
33,Business Analyst,Communications & Policy Analyst,Melbourne City Centre VIC,Department of Premier & Cabinet,None,None,7 days ago,https://www.indeed.com/rc/clk?jk=24a9c40202325e23&fccid=586af099e53e2b0d&vjs=3
34,Business Analyst,Business Process Analyst,Melbourne VIC,Anton Murray Consulting,"$50,000 - $100,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=f25012d4f7f51a98&fccid=f23308cafac7f4e6&vjs=3
35,Business Analyst,Support Analyst,Melbourne VIC,IRESS Limited,None,None,12 days ago,https://www.indeed.com/rc/clk?jk=f1b9b452eaf8d992&fccid=a71ba7c826202d1b&vjs=3
36,Business Analyst,Test Analyst,Melbourne VIC,Victorian Government,None,None,1 day ago,https://www.indeed.com/rc/clk?jk=a0e656be66de966e&fccid=1818d10a60db56b4&vjs=3
37,Business Analyst,Business Analyst,Melbourne VIC,Michael Page,"$80,000 - $90,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=b598ba03ab49a925&fccid=77087bd1709a8148&vjs=3
38,Business Analyst,Automation Test Analyst,Melbourne City Centre VIC,Department of Justice and Community Safety,None,None,2 days ago,https://www.indeed.com/rc/clk?jk=4d53c485567a0de5&fccid=4a4f11207655e7b8&vjs=3
39,Business Analyst,Test Analyst,Melbourne VIC,Hydro Tasmania,None,None,9 days ago,https://www.indeed.com/rc/clk?jk=21ef9ecef07c35d6&fccid=9c98b4761cd3b057&vjs=3
40,Business Analyst,Splunk Analyst,Melbourne VIC,UniSuper,None,None,6 days ago,https://www.indeed.com/rc/clk?jk=e706a09039466d46&fccid=7414fd5891b0ddd2&vjs=3
41,Business Analyst,Senior Finance Analyst,Melbourne VIC,Victorian Government,"$98,396 - $119,052 a year",None,3 days ago,https://www.indeed.com/rc/clk?jk=15f677921ba6f98d&fccid=1818d10a60db56b4&vjs=3
42,Business Analyst,Lead Spatial Analyst,Melbourne City Centre VIC,"Department of Environment, Land, Water and Plannin...",None,None,1 day ago,https://www.indeed.com/rc/clk?jk=1e5e05168df1e86e&fccid=e57f3ff73efefce2&vjs=3
43,Business Analyst,Business Process Analyst,Southbank VIC,Peoplebank,None,None,13 days ago,https://www.indeed.com/rc/clk?jk=2c934276c568748d&fccid=c90e910978217fed&vjs=3
44,Business Analyst,Analyst - Technology Development,East Melbourne VIC,Orica,None,None,7 days ago,https://www.indeed.com/rc/clk?jk=b1a1f24f084e2498&fccid=27ee08dcfb78432a&vjs=3
45,Business Analyst,Change Analyst,Melbourne VIC,Dialog Information Technology,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=ef81dfe4c95e588e&fccid=3acd1dea12f3f20d&vjs=3
46,Business Analyst,Lead Business Analyst,Melbourne VIC,Michael Page,$700 - $800 a day,None,6 days ago,https://www.indeed.com/rc/clk?jk=58575328603c74e2&fccid=77087bd1709a8148&vjs=3
47,Business Analyst,Agile Business Analyst – Insurance,Melbourne VIC,Technology Recruiting Solutions,$700 - $800 a day,None,30+ days ago,https://www.indeed.com/rc/clk?jk=cdef36ce37da5b77&fccid=ef482444c171c4a3&vjs=3
48,Business Analyst,Business Analyst,Melbourne VIC,SVABRS Techpool Pvt Ltd,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=0d9eec89ffbdc27c&fccid=dd616958bd9ddc12&vjs=3
49,Business Analyst,IT Business Analyst / Project Manager,Melbourne VIC,Altitude Recruitment - JA,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=58290480c82e7ba3&fccid=fb2eedce19ef3271&vjs=3
50,Business Analyst,Investment Operations Portfolio Analyst,Melbourne VIC,Link Group,None,None,7 days ago,https://www.indeed.com/rc/clk?jk=d8f0bbbecaa619b4&fccid=7ab5f4f72fdce966&vjs=3
51,Business Analyst,Data Analyst - Talent & Culture Tribe,Melbourne VIC,ANZ Banking Group,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=13286344b1f3b4e0&fccid=82e2c70af47d511b&vjs=3
52,Business Analyst,Business Analyst,Melbourne VIC,Michael Page,"$110,000 - $120,000 a year",None,28 days ago,https://www.indeed.com/rc/clk?jk=1d2922e2b45c49a0&fccid=77087bd1709a8148&vjs=3
53,Business Analyst,Analyst - Growth and M&A,East Melbourne VIC,Orica,None,None,7 days ago,https://www.indeed.com/rc/clk?jk=d90dedb71381c1d2&fccid=27ee08dcfb78432a&vjs=3
54,Business Analyst,Direct Investment Analyst,Melbourne VIC,Link Group,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=a65dd210b3d22e36&fccid=7ab5f4f72fdce966&vjs=3
55,Business Analyst,Lead Spatial Analyst,Melbourne VIC,Victorian Government,None,None,1 day ago,https://www.indeed.com/rc/clk?jk=30388639922a5e18&fccid=1818d10a60db56b4&vjs=3
56,Business Analyst,SAP Business Analyst,Melbourne VIC,Precision Sourcing,$700 - $950 a day,None,16 days ago,https://www.indeed.com/rc/clk?jk=4629846c8d745341&fccid=55726a78e88700f9&vjs=3
57,Business Analyst,Master Data Analyst - 6 Month Fixed Term Contract,Melbourne VIC,Danone,None,None,6 days ago,https://www.indeed.com/rc/clk?jk=ae4ca519bd6ba783&fccid=1d449a8e14af7cf3&vjs=3
58,Business Analyst,Analyst - Hospital & Performance Analytics,Docklands VIC,Medibank,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=2adaca73adf338f2&fccid=b7652dc7de6d908c&vjs=3
59,Business Analyst,Senior Digital Analyst,Melbourne VIC,Kmart,None,None,8 days ago,https://www.indeed.com/rc/clk?jk=3bc77befc2baa892&fccid=a8109ce9cc9fb03c&vjs=3
60,Business Analyst,Technical Business Analyst,Melbourne VIC,Michael Page,"$110,000 - $120,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=3bd1c8541c0be542&fccid=77087bd1709a8148&vjs=3
61,Business Analyst,Business Analyst (Sitecore),Melbourne VIC,Mindcloud Consultants,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=0a4a4657cafba2fd&fccid=0415b460faf42869&vjs=3
62,Business Analyst,Analyst - Sustainability Solutions Australia,Melbourne VIC,ENGIE Impact,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=1c9486339d403ed6&fccid=6ae3fd9d9bc6f5c6&vjs=3
63,Business Analyst,Business Analyst – PEGA,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=f69434b0588df776&fccid=ad7d1489eb2ecef6&vjs=3
64,Business Analyst,Salesforce Analyst,South Melbourne VIC,Luxury Escapes,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=2f8a0347ad13acda&fccid=cede575025afad6a&vjs=3
65,Business Analyst,Business Analyst / Process Analyst,Melbourne City Centre VIC,Appetency Recruitment Services,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=902cab2004a81219&fccid=9b1b0d5d0a964d32&vjs=3
66,Business Analyst,Web Marketing - SEO/SEM/Social Media,Port Melbourne VIC,Daronet Australia,None,None,Just posted,https://www.indeed.com/rc/clk?jk=63ad8535f440286a&fccid=c2de84a9b64dc40e&vjs=3
67,Business Analyst,Marketing Project Analyst - Flexible on location,Melbourne VIC,Optus,None,None,8 days ago,https://www.indeed.com/rc/clk?jk=d17a4cb1bf4116e9&fccid=312c42bfb3b98b50&vjs=3
68,Business Analyst,Business Analyst - ServiceNow,Melbourne VIC,Paxus,None,None,22 days ago,https://www.indeed.com/rc/clk?jk=e8e9d1f61be77ae7&fccid=0be9b830285b4790&vjs=3
69,Business Analyst,Business Analyst - ServiceNow,Melbourne VIC,Paxus,None,None,22 days ago,https://www.indeed.com/rc/clk?jk=633385e2aa3cabb1&fccid=0be9b830285b4790&vjs=3
70,Business Analyst,Sales & Marketing Analyst,Melbourne VIC,MarketOne International,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=c644f24b5d50bfff&fccid=e808e30f36e8f9bd&vjs=3
71,Business Analyst,Senior Business Analyst - Superannuation,Melbourne City Centre VIC,Peoplebank,None,None,1 day ago,https://www.indeed.com/rc/clk?jk=b505127bbb4c372d&fccid=c90e910978217fed&vjs=3
72,Business Analyst,Digital Business Analyst,Melbourne VIC,ARQ Group,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=9fe2b0a6177055cd&fccid=0e467f77d26ab024&vjs=3
73,Business Analyst,Business Analyst,Melbourne VIC,Jenny Barbour,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=376024f9383ffa9b&fccid=d81783858e1b6fcc&vjs=3
74,Business Analyst,Business Analyst,Melbourne VIC,Michael Page,"$120,000 - $140,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=421a591327aa102b&fccid=77087bd1709a8148&vjs=3
75,Business Analyst,Onsite IT Support Analyst - Technology,Melbourne VIC,Baker McKenzie,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=d99a898b396d5c07&fccid=06ce31f83eef4b47&vjs=3
76,Business Analyst,Clinical Costing Analyst,Melbourne VIC,Victorian Government,None,None,7 days ago,https://www.indeed.com/rc/clk?jk=9fb7fc78fa67622f&fccid=1818d10a60db56b4&vjs=3
77,Business Analyst,Allocator - 12 month contract,Melbourne VIC,lululemon athletica,None,None,7 days ago,https://www.indeed.com/rc/clk?jk=3997369e2db6493f&fccid=43f0f7dbd55927e9&vjs=3
78,Business Analyst,Automation Test Analyst,Melbourne VIC,Victorian Government,None,None,2 days ago,https://www.indeed.com/rc/clk?jk=eedbabec49ac3197&fccid=1818d10a60db56b4&vjs=3
79,Business Analyst,Investment Operations Portfolio Analyst,Melbourne VIC,Link Group,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=ce8958afaf24a553&fccid=7ab5f4f72fdce966&vjs=3
80,Business Analyst,Integration Support Analyst,Melbourne VIC,AESOP Corporate,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=0fa3086e125ad9d3&fccid=928ccdb7c9619b09&vjs=3
81,Business Analyst,Business Analyst,Melbourne City Centre VIC,Appetency Recruitment Services,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=c6fd142961a3f7c8&fccid=9b1b0d5d0a964d32&vjs=3
82,Business Analyst,Business Analyst,Melbourne VIC,Robert Walters,None,None,20 days ago,https://www.indeed.com/rc/clk?jk=a177f443aca7aa66&fccid=f01c2f55ec3054bf&vjs=3
83,Business Analyst,test analyst - business intelligence,Melbourne VIC,Randstad,None,None,2 days ago,https://www.indeed.com/rc/clk?jk=7ee4d5f144adbd89&fccid=f8b265243da9f9d7&vjs=3
84,Business Analyst,Business Analyst,Richmond VIC,Michael Page,"$100,000 - $101,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=9d408b5bde5960eb&fccid=77087bd1709a8148&vjs=3
85,Business Analyst,Business Analyst,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=3d5f2d782a3fb186&fccid=ad7d1489eb2ecef6&vjs=3
86,Business Analyst,Analytics/BI Business Analyst,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=b341398d4789d87f&fccid=ad7d1489eb2ecef6&vjs=3
87,Business Analyst,TM1 Business Analyst,Melbourne VIC,Jenny Barbour,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=57a89b8f8eb19fc6&fccid=d81783858e1b6fcc&vjs=3
88,Business Analyst,Business Analyst,Melbourne VIC,Robert Walters,None,None,27 days ago,https://www.indeed.com/rc/clk?jk=136635752d2b0893&fccid=f01c2f55ec3054bf&vjs=3
89,Business Analyst,Senior Business Analyst,Melbourne VIC,Michael Page,$650 - $700 a day,None,30+ days ago,https://www.indeed.com/rc/clk?jk=afb3a2320196b12e&fccid=77087bd1709a8148&vjs=3
90,Business Analyst,IT Business Analyst,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=409c9c01f5ab125c&fccid=ad7d1489eb2ecef6&vjs=3
91,Business Analyst,Senior Business Analyst,Melbourne VIC,Michael Page,"$120,000 - $140,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=f5ef4ed7659ebf21&fccid=77087bd1709a8148&vjs=3
92,Business Analyst,"Analyst I, Systems Operations",Southbank VIC,Intercontinental Exchange,None,None,21 days ago,https://www.indeed.com/rc/clk?jk=18de6f8f253f922f&fccid=306f81e1483f7d82&vjs=3
93,Business Analyst,Business Analyst,Richmond VIC,Michael Page,$450 - $550 a day,None,30+ days ago,https://www.indeed.com/rc/clk?jk=2cdac0ff0fe7fee4&fccid=77087bd1709a8148&vjs=3
94,Business Analyst,Dynamics 365 Functional Analyst,Melbourne VIC,Dialog Information Technology,None,None,9 days ago,https://www.indeed.com/rc/clk?jk=1185f7cbbe96c244&fccid=3acd1dea12f3f20d&vjs=3
95,Business Analyst,Senior Business Analyst,Melbourne VIC,Michael Page,"$120,000 - $130,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=3f32a9c6adc33bf0&fccid=77087bd1709a8148&vjs=3
96,Business Analyst,"Analyst II, Systems Operations",Southbank VIC,Intercontinental Exchange,None,None,21 days ago,https://www.indeed.com/rc/clk?jk=be4396c9b693eed4&fccid=306f81e1483f7d82&vjs=3
97,Business Analyst,"Analyst II, Systems Operations",Southbank VIC,Intercontinental Exchange,None,None,21 days ago,https://www.indeed.com/rc/clk?jk=8c3b3629b2a988bf&fccid=306f81e1483f7d82&vjs=3
98,Business Analyst,Monitoring Services Analyst,Melbourne VIC,UniSuper,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=b60d0481414df5f8&fccid=7414fd5891b0ddd2&vjs=3
99,Business Analyst,DataNavigator Specialist,Melbourne VIC,FIS Global,None,None,Just posted,https://www.indeed.com/rc/clk?jk=95a08d6e1ab600fe&fccid=728c395148e5a2db&vjs=3
100,Business Analyst,BI & Data Analyst (Microstrategy),Melbourne VIC,Fortune Select,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=196fee3de8aed3f4&fccid=0ddd285ee27b130f&vjs=3
101,Business Analyst,Senior Data Architect,Melbourne City Centre VIC,Department of Justice and Community Safety,"$120,692 - $161,511 a year",None,1 day ago,https://www.indeed.com/rc/clk?jk=13e12084042c55ae&fccid=4a4f11207655e7b8&vjs=3
102,Business Analyst,Business Analyst – EForm,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=2db6a91dac1305e3&fccid=ad7d1489eb2ecef6&vjs=3
103,Business Analyst,Senior Business Analyst,Melbourne VIC,Michael Page,"$120,000 - $135,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=bcf51e7107d8788d&fccid=77087bd1709a8148&vjs=3
104,Business Analyst,Business Analyst,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=6310f9b516ead289&fccid=ad7d1489eb2ecef6&vjs=3
105,Business Analyst,Test Analyst / Senior Test Analyst,Melbourne VIC,AccessHQ,None,None,7 days ago,https://www.indeed.com/rc/clk?jk=910761300ee412a2&fccid=56284ed47a760450&vjs=3
106,Business Analyst,technical business analyst data / reporting,Melbourne VIC,Randstad,None,None,2 days ago,https://www.indeed.com/rc/clk?jk=a653882485cfc700&fccid=f8b265243da9f9d7&vjs=3
107,Business Analyst,Full Stack Web Developer,Melbourne VIC,IRESS Limited,None,None,5 days ago,https://www.indeed.com/rc/clk?jk=471901611811836d&fccid=a71ba7c826202d1b&vjs=3
108,Business Analyst,"Lead Analyst, Insights and Analytics, 12- month contract",Melbourne VIC,Optus,None,None,15 days ago,https://www.indeed.com/rc/clk?jk=de0a98398efcc58d&fccid=312c42bfb3b98b50&vjs=3
109,Business Analyst,"Commercial Analyst, Data & Analytics - APJ",Melbourne VIC,Illumina,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=88d4d8819a300d97&fccid=8524239b088a6649&vjs=3
110,Business Analyst,IT Security Analyst 3,Melbourne VIC,Oracle,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=a2672a1ddc7c6e5e&fccid=cd22d01053af7669&vjs=3
111,Business Analyst,Senior Investment Operations Portfolio Analyst,Melbourne VIC,Link Group,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=09c5ea7ea7ae5c3a&fccid=7ab5f4f72fdce966&vjs=3
112,Business Analyst,Business Analyst – EForm,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=262b7db711286432&fccid=ad7d1489eb2ecef6&vjs=3
113,Business Analyst,Credit Analyst,Melbourne VIC,Talent International,None,None,Today,https://www.indeed.com/rc/clk?jk=4716a873bcb0d75f&fccid=ea1f64b071408cc5&vjs=3
114,Business Analyst,ROW Campus-Hiring,Melbourne VIC,Credit Suisse Campus,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=f3e560d8a8593ac2&fccid=4fff4280b3334971&vjs=3
115,Business Analyst,Lead Business Analyst – PEGA,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=c97f582f272fdc7c&fccid=ad7d1489eb2ecef6&vjs=3
116,Business Analyst,Splunk Analysts and Specialists,Melbourne VIC,Accenture,"$60,000 - $100,000 a year",None,13 days ago,https://www.indeed.com/rc/clk?jk=9293105b9b103477&fccid=a4e4e2eaf26690c9&vjs=3
117,Business Analyst,SENIOR BUSINESS ANALYST,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=8ec7e15bcda77947&fccid=ad7d1489eb2ecef6&vjs=3
118,Business Analyst,Financial Analyst,Melbourne VIC,HOBAN Recruitment,None,None,Today,https://www.indeed.com/rc/clk?jk=d92639071e559d89&fccid=4da8e0e2321cd197&vjs=3
119,Business Analyst,Senior Data Architect,Melbourne VIC,Victorian Government,"$120,692 - $161,511 a year",None,1 day ago,https://www.indeed.com/rc/clk?jk=50e414e748ed7657&fccid=1818d10a60db56b4&vjs=3
120,Business Analyst,IT Senior Business Analyst,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=c297ab07ef46c3aa&fccid=ad7d1489eb2ecef6&vjs=3
121,Business Analyst,Technical Business Analyst,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=1efe6215db69cdff&fccid=ad7d1489eb2ecef6&vjs=3
122,Business Analyst,Senior Business Analyst,Melbourne VIC,Michael Page,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=8e2dad23eff9acf7&fccid=77087bd1709a8148&vjs=3
123,Business Analyst,SAP Supply Chain Business Analyst (PP and QM),Melbourne VIC,Saptureinternational,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=c473b9fce1597fe8&fccid=2dee447b2598dbe2&vjs=3
124,Business Analyst,System Integration Analyst Consultant,Melbourne VIC,NTT MSC,None,None,19 days ago,https://www.indeed.com/rc/clk?jk=a37f6aaa9a90bc5d&fccid=4d65a0b81feab968&vjs=3
125,Business Analyst,Test Analyst - Tosca,Melbourne VIC,Infosys Limited,None,None,28 days ago,https://www.indeed.com/rc/clk?jk=7457728b1029295e&fccid=c67533a523c83a4c&vjs=3
126,Business Analyst,IT Senior Business Analyst,Melbourne VIC,Adaps,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=b122dedd551fbbac&fccid=ad7d1489eb2ecef6&vjs=3
127,Business Analyst,Service Desk Analyst,Melbourne VIC,Robert Half,"$80,000 a year",None,15 days ago,https://www.indeed.com/rc/clk?jk=f610aa9edf7ea409&fccid=bc2f0862932e35da&vjs=3
128,Business Analyst,Senior Data Visualisation Consultant,Melbourne VIC,Slalom Consulting,None,None,3 days ago,https://www.indeed.com/rc/clk?jk=f8da7b785a0c8a83&fccid=a321096b9f1b3c50&vjs=3
129,Business Analyst,HR Systems Analyst,Melbourne VIC,HESTA Super,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=6018aad243b47f6e&fccid=8714d55d88088a28&vjs=3
130,Business Analyst,2 x Automation Testers,Melbourne VIC,FinXL,None,None,9 days ago,https://www.indeed.com/rc/clk?jk=2f6a680832a98091&fccid=ac03a1f83ad84e54&vjs=3
131,Business Analyst,Senior .NET Developer,Melbourne VIC,Telstra Health,None,None,8 days ago,https://www.indeed.com/rc/clk?jk=9cdc07188364e71f&fccid=37a309344fac585c&vjs=3
132,Business Analyst,Data Scientist,Melbourne VIC,Deloitte,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=94966ad9fb5c31de&fccid=9e215d88a6b33622&vjs=3
133,Business Analyst,Senior Business Planning Manager,Melbourne VIC,AESOP Corporate,None,None,6 days ago,https://www.indeed.com/rc/clk?jk=35052f31b27aa244&fccid=928ccdb7c9619b09&vjs=3
134,Business Analyst,business (systems) analyst,Melbourne VIC,Randstad,None,None,5 days ago,https://www.indeed.com/rc/clk?jk=c4b2b828ea0aa7b5&fccid=f8b265243da9f9d7&vjs=3
